codigo_unico,descripcion,nombre,categoria,marca,precio_compra,precio_venta,stock_actual
070550034-KA056,SN,PASTILLA DE FRENO LEONCINO500 - DK PARTS,REPUESTOS,DK PARTS,2.25,3.15,2
8446,SN,PASTILLA DE FRENO LONCIN CR5 - BRASSINTER,REPUESTOS,BRASSINTER,1.78,2.5,11
070550009-KA068,SN,PASTILLA DE FRENO LONCIN CR5 POSTERIOR ; RTX150 - DK PARTS,REPUESTOS,DK PARTS,2.74,3.85,2
PAS156,SN,PASTILLA DE FRENO POST.VSTROM - ECOMOTOS OSAKA,REPUESTOS,ECOMOTOS,13.57,19,0
7860001108814,SN,PASTILLA DE FRENO POSTERIOR DY WOLF - EXTREME,REPUESTOS,EXTREME,2.57,3.6,0
RF10071,SN,PASTILLA DE FRENO POSTERIOR DY WOLF ;TEKKEN250;DY250;SUZUKI GIXXER- EXTREME MAX,REPUESTOS,EXTREME,2.35,3.3,0
PSTL001,SN,PASTILLA DE FRENO POSTERIOR DY150 MONTANA/RALLY300/LX300CR6/TUKO SX2 250- MOTTOX,REPUESTOS,VARROC,2.25,3.5,4
M01282,SN,PASTILLA DE FRENO POSTERIOR HONDA CB190R/SUZUKI GIXXER GSX150/DAYTONA DY250 TEKKEN/DY SCRAMBLER/AXXO TRACKER250-MOTTOX,REPUESTOS,MOTTOX,1.88,2.65,0
M03549,SN,PASTILLA DE FRENO POSTERIOR HONDA CRF230/DY250 - MOTTOX,REPUESTOS,VARROC,3.35,4.7,2
06.121.0035,SN,PASTILLA DE FRENO POSTERIOR PULSAR 160/150NS(2023);P180(11-13)(20)(15);DOMINAR400 - ENDURECE - MOXAL,REPUESTOS,MOXAL,3.68,5.15,1
7450076027822,SN,PASTILLA DE FRENO POSTERIOR PULSAR 220,REPUESTOS,NA,2.71,3.8,5
M01979,SN,PASTILLA DE FRENO POSTERIOR PULSAR 220F - MOTTOX,REPUESTOS,VARROC,1.81,2.55,14
292400013-0001,SN,PASTILLA DE FRENO POSTERIOR TUKO GT (ORIGINAL) - TUKO,REPUESTOS,MOTO INDUSTRIA S.A TUKO,7.49,10.5,1
694712510652,SN,PASTILLA DE FRENO POSTERIOR TUNDRA RAPTOR;Z1 COBRA-MTG-D MOTO,REPUESTOS,D MOTO,1.93,2.7,2
M02230,SN,PASTILLA DE FRENO POSTERIOR TVS APACHE RTR 180/APACHE RTR200 - MOTTOX,REPUESTOS,MOTTOX,2.71,3.8,5
100505,SN,PASTILLA DE FRENO POSTERIOR YAMAHA FZ25(18);DY250 ADVENTURER(19-21)-RIFFEL-D MOTO,REPUESTOS,D MOTO,3.57,5,3
070550026-KA060,SN,PASTILLA DE FRENO PULSAR 200NS - DK PARTS,REPUESTOS,DK PARTS,3.1,4.35,0
RF10014,SN,PASTILLA DE FRENO PULSAR200NS - XTREME MAX,REPUESTOS,EXTREME,2.49,3.5,8
100656,SN,PASTILLA DE FRENO PULSAR200NS/PULSAR135/180/220; FZ16 ; KTM (FINA)RIFFEL,REPUESTOS,IMPORTADORA IMMER / RIFFEL,2.13,2.99,0
06.121.0084,SN,PASTILLA DE FRENO ROJA DY250 TEKKEN(2019) - MOXAL,REPUESTOS,MOXAL,2.03,2.85,2
8258,SN,PASTILLA DE FRENO SHINERAY CHIEF II POSTERIOR - ECOMOTOS ITAKA,REPUESTOS,ECOMOTOS,2.86,4.01,0
PAS00054,SN,PASTILLA DE FRENO SHINERAY CHIEF II POSTERIOR - STANDARD-IDIRSA,REPUESTOS,IDIRSA,2.49,3.5,1
